anchor_point_lat,anchor_point_lon,lat - extent/2,lon - extent/2,lat + extent/2,lon + extent/2,find_point_lat,find_point_lon,find_point_x,find_point_y
31.92245,-109.9673,31.998664,-109.877468,31.846173,-110.057132,31.921483,-110.03358,,
31.9024,-109.2785,31.978631,-109.188668,31.826106,-109.368332,31.8395,-109.27667,,
31.42903,-110.2933,31.505651,-110.203468,31.352347,-110.383132,31.429517,-110.30412,,
34.55,-111.6333,34.623955,-111.543468,34.475979,-111.723132,34.55,-111.61667,,
34.6,-112.55,34.673911,-112.460168,34.526023,-112.639832,34.633333,-112.63333,,
34.82167,-111.8067,34.895383,-111.716868,34.747891,-111.896532,34.818333,-111.79833,,
33.3975,-111.3478,33.472465,-111.257968,33.32247,-111.437632,33.415667,-111.365,,
33.70542,-111.338,33.780118,-111.248168,33.630657,-111.427832,33.67915,-111.31695,,
31.39708,-111.2064,31.473727,-111.116568,31.320371,-111.296232,31.406333,-111.19683,,
32.4075,-110.825,32.483309,-110.735168,32.331627,-110.914832,32.4075,-110.825,,
34.89333,-111.8633,34.966978,-111.773468,34.819615,-111.953132,34.906667,-111.87603,,
34.94833,-111.795,35.021929,-111.705168,34.874665,-111.884832,34.946667,-111.795,,
31.72262,-110.1878,31.799,-110.097968,31.646177,-110.277632,31.741767,-110.19178,,
33.39733,-111.348,33.472296,-111.258168,33.3223,-111.437832,33.441667,-111.36767,,
34.63042,-112.5553,34.704304,-112.465468,34.556471,-112.645132,34.627233,-112.54577,,
34.55977,-111.6539,34.633716,-111.564068,34.485758,-111.743732,34.540067,-111.70348,,
34.90287,-111.8131,34.97651,-111.723268,34.829164,-111.902932,34.891833,-111.80482,,
34.86667,-111.8833,34.940342,-111.793468,34.792932,-111.973132,34.866667,-111.8,,
32.43543,-110.7893,32.511216,-110.699468,32.359581,-110.879132,32.428833,-110.79433,,
32.40917,-110.7098,32.484978,-110.619968,32.333299,-110.799632,32.400833,-110.69233,,
35.33068,-111.7111,35.403934,-111.621268,35.25736,-111.800932,35.334233,-111.6975,,
32.01237,-109.3157,32.08851,-109.225868,31.936167,-109.405532,31.99935,-109.3078,,
31.85073,-109.4219,31.927004,-109.332068,31.774393,-109.511732,31.862,-109.338,,
34.88683,-111.784,34.960484,-111.694168,34.81311,-111.873832,34.902667,-111.78683,,
32.41977,-110.7473,32.495569,-110.657468,32.343907,-110.837132,32.3655,-110.77583,,
33.60398,-112.5151,33.678767,-112.425268,33.529128,-112.604932,33.590333,-112.52283,,
33.3968,-111.3481,33.471766,-111.258268,33.321769,-111.437932,33.4215,-111.3605,,
33.52603,-111.3905,33.600884,-111.300668,33.451111,-111.480332,33.52,-111.395,,
32.33333,-110.8528,32.409201,-110.762968,32.257395,-110.942632,32.3715,-110.86467,,
32.33583,-110.9102,32.411699,-110.820368,32.259897,-111.000032,32.3665,-110.88017,,
32.337,-110.9167,32.412868,-110.826868,32.261068,-111.006532,32.359833,-110.89767,,
35.08133,-111.0711,35.154809,-110.981268,35.007784,-111.160932,35.081333,-111.07108,,
33.25,-113.5093,33.325093,-113.419468,33.174843,-113.599132,33.25,-113.50933,,
31.50572,-110.6762,31.582278,-110.586368,31.429099,-110.766032,31.51,-110.65333,,
34.91667,-111.8,34.990297,-111.710168,34.842976,-111.889832,34.966667,-111.86667,,
35.1938,-114.057,35.267178,-113.967168,35.120356,-114.146832,35.208717,-114.13195,,
33.39715,-111.3479,33.472116,-111.258068,33.32212,-111.437732,35.82865,-112.05322,,
33.37055,-111.1152,33.445539,-111.025368,33.295497,-111.205032,33.375283,-111.08918,,
34.0927,-111.4246,34.16706,-111.334768,34.018275,-111.514432,34.068767,-111.43592,,
