Country,State,Key#,County,EcoRegion Domain,EcoRegion Division,Population Density,Terrain,Subject Category,Age,Sex,Number Lost,Weather,Coordinates,LKP Coord. (N/S),LKP Coord. (E/W),Find Coord (N/S),Find Coord (E/W),IPP Precision (m),IPP Coord. DD.D (N/S),IPP Coord. DD.D (E/W),Find Coord DD.D (N/S),Find Coord DD.D (E/W)
US,AZ,US-AZ0003,COCHISE ,Dry,320,Wilderness,Flat,Mental Retardation,40,M,,,DD.DDD,31.43493334,-110.2323333,31.39535001,-110.1093333,1,31.43493334,-110.2323333,31.39535001,-110.1093333
US,AZ,US-AZ0004,APACHE ,Dry,m310,Wilderness,Mountainous,Camper,75,M,,,DD.DDD,33.97181664,-109.0950333,34.13733333,-109.066,1,33.97181664,-109.0950333,34.13733333,-109.066
US,AZ,US-AZ0005,APACHE ,Dry,m310,Wilderness,MOUNTAINOUS,Child,4,M,,,DD.DDD,33.82119999,-109.1491833,33.80291665,-109.1465833,1,33.82119999,-109.1491833,33.80291665,-109.1465833
US,AZ,US-AZ0008,GILA ,Dry,m310,Wilderness,Flat,Hiker,63,F,,,DD.DDD,34.45878334,-111.2508833,34.44531666,-111.3221,1,34.45878334,-111.2508833,34.44531666,-111.3221
US,AZ,US-AZ0011,COCHISE ,Dry,320,Wilderness,Flat,Hiker,"57,34",MF,2,,DD.DDD,31.92245,-109.9673167,31.92148336,-110.0335833,1,31.92245,-109.9673167,31.92148336,-110.0335833
US,AZ,US-AZ0018,COCHISE ,Dry,320,Wilderness,Flat,Hiker,49,M,,,DD.DDD,31.90240002,-109.2784667,31.83949998,-109.2766667,1,31.90240002,-109.2784667,31.83949998,-109.2766667
US,AZ,US-AZ0019,COCHISE ,Dry,320,Wilderness,Flat,Hiker,"58,20",MM,2,,DD.DDD,31.42903334,-110.2932833,31.42951667,-110.3041167,1,31.42903334,-110.2932833,31.42951667,-110.3041167
US,AZ,US-AZ0020,YAVAPAI ,Dry,310,Wilderness,Mountainous,Hiker,"26,21",MF,2,,DD.DDD,34.55,-111.6333333,34.55,-111.6166667,1,34.55,-111.6333333,34.55,-111.6166667
US,AZ,US-AZ0021,YAVAPAI ,Dry,310,Wilderness,Flat,Dementia,83,F,,,DD.DDD,34.65,-112.5,34.65186666,-112.4962333,1,34.65,-112.5,34.65186666,-112.4962333
US,AZ,US-AZ0022,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,25,F,,,DD.DDD,34.6,-112.55,34.63333333,-112.6333333,1,34.6,-112.55,34.63333333,-112.6333333
US,AZ,US-AZ0030,COCHISE ,Dry,320,Wilderness,Flat,Dementia,84,M,,,DD.DDD,31.37999999,-109.8858334,31.3721,-109.9191,1,31.37999999,-109.8858334,31.3721,-109.9191
US,AZ,US-AZ0031,GILA ,Dry,m310,Wilderness,Flat,Mental Retardation,16,M,,,DD.DDD,34.25450001,-111.3086667,34.26749999,-110.3376667,1,34.25450001,-111.3086667,34.26749999,-110.3376667
US,AZ,US-AZ0042,YAVAPAI ,Dry,310,Wilderness,Flat,Hiker,"21,20",MF,2,,DD.DDD,34.82166665,-111.8066667,34.81833331,-111.7983334,1,34.82166665,-111.8066667,34.81833331,-111.7983334
US,AZ,US-AZ0044,PINAL ,Dry,320,Wilderness,Mountainous,Hiker,"32,29",MM,2,,DD.DDD,33.39750001,-111.3478333,33.41566668,-111.365,1,33.39750001,-111.3478333,33.41566668,-111.365
US,AZ,US-AZ0045,GRAHAM ,Dry,320,Wilderness,Flat,Mental Retardation,18,M,,,DD.DDD,32.64609998,-109.8158167,32.65335,-109.80485,1,32.64609998,-109.8158167,32.65335,-109.80485
US,AZ,US-AZ0050,GILA ,Dry,m310,Wilderness,MOUNTAINOUS,Hiker,44,M,,,DD.DDD,33.70541668,-111.33805,33.67915001,-111.31695,1,33.70541668,-111.33805,33.67915001,-111.31695
US,AZ,US-AZ0051,GILA ,Dry,m310,Wilderness,MOUNTAINOUS,Hiker,40,M,,,DD.DDD,33.70541668,-111.33805,33.67915001,-111.31695,1,33.70541668,-111.33805,33.67915001,-111.31695
US,AZ,US-AZ0054,YAVAPAI ,Dry,310,Wilderness,Flat,Vehicle-4wd,60.37.36,FMF,3,,DD.DDD,34.63499997,-111.5466667,34.63499997,-111.5466667,1,34.63499997,-111.5466667,34.63499997,-111.5466667
US,AZ,US-AZ0059,MARICOPA ,Dry,320,Wilderness,Mountainous,Vehicle-4wd,"33,39",FM,2,,DD.DDD,33.96816667,-111.9348333,33.96816667,-111.9348333,1,33.96816667,-111.9348333,33.96816667,-111.9348333
US,AZ,US-AZ0060,SANTA CRUZ ,Dry,320,Wilderness,Flat,Hiker,23,F,,,DD.DDD,31.39708335,-111.2064333,31.40633332,-111.1968333,1,31.39708335,-111.2064333,31.40633332,-111.1968333
US,AZ,US-AZ0063,COCHISE ,Dry,320,Wilderness,Flat,Despondent,43,F,,,DD.DDD,32.01088333,-109.8509833,32.10883334,-109.8509833,1,32.01088333,-109.8509833,32.10883334,-109.8509833
US,AZ,US-AZ0066,NAVAJO ,Dry,310,Wilderness,Flat,Hunter,77,M,,,DD.DDD,34.15116666,-109.8896667,34.1517,-109.9133,1,34.15116666,-109.8896667,34.1517,-109.9133
US,AZ,US-AZ0069,PIMA ,Dry,320,Wilderness,Mountainous,Hiker,72,M,,,DD.DDD,32.40750001,-110.825,32.40750001,-110.825,1,32.40750001,-110.825,32.40750001,-110.825
US,AZ,US-AZ0077,YAVAPAI ,Dry,310,Wilderness,Mountainous,Hiker,"44,38",MF,2,,DD.DDD,34.89333331,-111.8633333,34.90666669,-111.8760333,1,34.89333331,-111.8633333,34.90666669,-111.8760333
